TRANSACTION_ID,ORDER_ID,PRODUCT_ID,QUANTITY,PRICE
1,218,213,2,115.88
2,777,356,10,480.88
3,624,440,2,473.82
4,870,379,5,451.11
5,526,278,3,337.38
6,838,239,10,114.89
7,900,168,4,366.81
8,528,81,1,65.91
9,75,286,5,473.04
10,670,392,10,354.82
11,301,365,8,65.53
12,885,208,3,432.11
13,632,70,8,435.92
14,234,325,5,371.15
15,663,385,9,39.96
16,517,364,3,7.45
17,656,454,10,407.43
18,338,193,5,363.75
19,335,196,5,242.32
20,270,169,8,227.14
21,734,386,8,452.43
22,406,108,1,272.8
23,833,98,6,432.42
24,798,386,4,57.07
25,656,237,6,253.1
26,599,3,10,354.9
27,452,91,4,126.35
28,88,341,9,97.86
29,675,164,6,254.74
30,550,432,1,420.32
31,157,278,5,311.72
32,420,463,9,106.15
33,421,367,3,408.94
34,773,263,10,102.63
35,767,392,7,93.98
36,697,314,8,149.2
37,445,393,2,245.32
38,337,453,7,455.71
39,327,41,2,418.27
40,231,123,6,42.69
41,886,233,9,8.25
42,233,357,6,98.3
43,388,117,8,215.21
44,157,323,2,437.42
45,461,227,1,415.97
46,215,48,10,336.22
47,156,352,9,247.35
48,924,108,6,199.49
49,642,454,4,171.54
50,402,372,2,335.65
51,566,392,7,39.25
52,885,374,8,336.05
53,127,247,5,153.95
54,635,405,9,115.67
55,964,435,1,17.54
56,36,378,7,240.31
57,897,266,7,147.45
58,409,275,8,427.76
59,453,476,1,181.31
60,819,40,1,76.52
61,520,412,1,309.92
62,57,222,10,387.52
63,160,471,1,99.84
64,47,314,4,126.18
65,794,164,7,289.7
66,295,362,3,346.45
67,953,451,7,39.57
68,432,137,7,33.75
69,992,102,8,74.14
70,646,352,4,241.91
71,190,425,9,186.01
72,84,470,1,67.95
73,18,339,3,176.88
74,470,148,4,391.84
75,51,169,1,391.27
76,800,65,5,374.9
77,515,469,8,43.68
78,183,237,10,236.69
79,188,112,6,483.33
80,683,287,8,198.81
81,675,338,4,27.26
82,899,409,5,303.34
83,438,327,3,377.06
84,269,2,7,45.77
85,685,375,4,314.31
86,141,391,2,356.43
87,215,233,6,198.38
88,830,300,4,128.46
89,248,62,9,334.64
90,401,99,4,373.71
91,492,48,5,105.07
92,669,450,9,315.64
93,407,413,2,15.27
94,517,170,3,162.37
95,218,208,3,90.8
96,98,400,1,57.71
97,328,380,1,120.65
98,799,478,4,154.8
99,350,339,1,412.47
100,405,79,7,206.86
101,276,486,4,122.53
102,105,211,4,207.58
103,20,273,8,72.34
104,664,82,5,315.87
105,913,410,2,331.87
106,696,175,4,146.03
107,347,282,1,14.9
108,274,428,9,492.31
109,784,278,3,14.66
110,202,385,5,481.01
111,78,61,6,34.68
112,470,111,1,289.84
113,245,248,4,245.05
114,232,403,7,203.37
115,73,125,5,407.85
116,367,333,5,417.91
117,229,275,9,230.86
118,80,10,6,10.98
119,475,481,6,232.63
120,778,441,3,288.97
121,997,469,5,242.6
122,441,61,3,123.61
123,196,334,5,254.84
124,1,257,5,375.69
125,748,195,8,11.14
126,641,364,8,44.61
127,400,424,6,42.26
128,143,76,1,280.44
129,302,96,8,81.1
130,645,7,4,39.03
131,197,377,9,454.85
132,116,440,3,339.52
133,81,230,4,407.97
134,56,367,6,171.65
135,9,63,5,251.22
136,997,127,8,9.01
137,879,39,9,272.09
138,215,411,2,148.41
139,357,284,1,119.67
140,514,374,7,270.14
141,775,276,8,483.73
142,537,293,2,220.86
143,616,204,8,58.45
144,708,147,9,414.44
145,170,146,1,448.81
146,27,190,6,286.19
147,943,236,1,154.17
148,582,233,3,425.38
149,966,318,2,42.79
150,467,261,3,257.9
151,183,469,5,468.96
152,986,421,5,39.86
153,416,162,3,319.16
154,369,226,3,353.37
155,11,371,5,150.68
156,465,330,4,260.01
157,898,108,10,184.05
158,10,351,5,385.94
159,528,460,8,260.24
160,336,213,3,452.81
161,834,135,7,160.26
162,81,31,2,68.53
163,620,236,6,213.27
164,519,301,6,85.07
165,741,396,5,345.54
166,730,2,8,354.63
167,835,225,1,330.73
168,127,121,5,258.09
169,753,14,8,128.06
170,406,147,5,453.2
171,354,228,5,469.05
172,932,400,7,416.22
173,719,383,3,360.52
174,786,89,4,308.75
175,40,256,6,15.93
176,384,72,3,291.98
177,637,207,8,175.7
178,337,212,3,296.43
179,977,487,2,464.21
180,879,408,7,347.36
181,171,197,8,91.66
182,636,53,8,471.86
183,179,198,1,391.48
184,953,383,9,198.33
185,543,397,5,470.89
186,250,424,8,51.3
187,366,190,8,380.33
188,682,485,5,17.08
189,51,299,1,438.89
190,294,413,8,439.35
191,864,308,4,83.04
192,99,41,10,477.25
193,632,137,1,151.12
194,579,93,8,240.57
195,866,92,7,396.79
196,3,124,1,426.72
197,546,422,4,151.68
198,971,431,1,474.63
199,284,263,5,295.22
200,679,445,4,81.41
201,139,22,1,186.99
202,616,457,5,25.37
203,197,331,3,243.64
204,988,475,7,361.47
205,806,354,4,283.63
206,679,143,4,442.94
207,204,469,10,28.85
208,170,95,1,59.63
209,903,86,6,421.04
210,964,209,6,372.24
211,331,79,2,124.28
212,296,7,5,365.9
213,415,497,4,273.88
214,729,230,5,39.18
215,758,122,7,241.35
216,350,462,3,400.9
217,843,8,10,60.3
218,799,231,8,283.07
219,190,132,9,174.67
220,824,352,3,319.86
221,537,477,9,328.55
222,48,228,5,418.68
223,456,319,3,194.05
224,638,361,4,19.22
225,918,462,5,53.35
226,750,205,8,160.64
227,691,450,8,290.67
228,819,151,2,163.07
229,36,211,6,79.06
230,521,268,3,253.3
231,371,191,5,376.04
232,943,145,6,447.18
233,443,151,1,438.5
234,951,24,4,416.8
235,335,30,2,407.5
236,938,390,10,296.81
237,167,342,8,140.04
238,427,381,3,172.68
239,190,479,1,342.28
240,192,153,2,473.95
241,54,332,5,400.91
242,772,116,7,269.74
243,977,246,7,365.51
244,673,89,10,358.74
245,285,227,3,237.16
246,34,268,2,491.54
247,67,314,9,373.99
248,200,415,3,349.98
249,629,459,4,75.3
250,835,122,10,326.66
251,981,323,4,421.62
252,331,488,8,211.3
253,696,115,7,331.22
254,631,405,7,89.33
255,600,318,4,401.6
256,110,17,5,65.77
257,169,49,1,117.57
258,613,24,7,103.81
259,923,28,10,184.95
260,952,312,6,324.33
261,190,136,3,36.29
262,710,245,6,263.95
263,756,198,7,360.95
264,74,341,2,81.42
265,269,248,9,383.68
266,204,162,1,209.58
267,950,313,3,474.73
268,890,220,5,167.86
269,602,15,9,56.38
270,14,112,10,240.64
271,933,96,5,165.81
272,412,365,8,186.52
273,472,182,6,411.28
274,810,116,4,217.55
275,80,360,2,463.79
276,405,152,9,375.0
277,29,79,8,296.95
278,494,179,10,237.99
279,44,209,8,264.28
280,16,271,10,280.89
281,523,54,1,307.68
282,296,242,2,295.63
283,440,339,2,498.45
284,205,195,3,418.94
285,986,236,4,232.6
286,906,333,4,79.87
287,362,168,10,125.73
288,448,379,4,49.89
289,170,458,4,488.98
290,447,366,6,484.11
291,434,307,5,358.16
292,368,30,3,37.21
293,346,162,3,203.76
294,688,325,3,370.09
295,504,23,6,138.93
296,705,475,10,257.09
297,638,114,5,249.7
298,332,387,3,70.3
299,950,232,2,103.62
300,134,24,6,180.09
301,636,496,8,454.42
302,623,47,5,278.53
303,890,261,7,184.26
304,258,444,9,305.21
305,765,375,4,458.53
306,217,188,10,339.2
307,325,471,9,37.68
308,12,375,10,77.71
309,34,240,2,487.86
310,417,12,1,467.44
311,370,376,2,95.14
312,924,439,8,74.35
313,516,57,4,383.32
314,75,401,9,197.92
315,818,290,9,59.74
316,31,395,6,203.01
317,315,397,8,179.96
318,236,8,2,370.28
319,412,373,8,16.01
320,369,241,9,334.44
321,803,147,7,419.58
322,209,226,2,56.43
323,209,83,6,110.86
324,30,61,2,140.08
325,199,396,2,74.15
326,222,320,7,49.04
327,900,237,3,429.6
328,666,51,3,388.44
329,715,96,6,369.03
330,708,326,10,259.1
331,297,404,4,124.84
332,678,423,1,92.45
333,408,67,4,20.25
334,346,61,9,182.83
335,469,180,7,286.94
336,991,211,7,121.43
337,677,235,3,11.53
338,481,223,9,156.58
339,864,346,9,106.03
340,12,393,3,466.69
341,581,279,6,111.31
342,680,57,2,369.56
343,432,190,3,317.5
344,444,132,9,101.07
345,57,267,5,316.77
346,255,85,4,47.32
347,395,207,4,292.28
348,342,44,5,231.39
349,275,143,10,18.17
350,740,279,10,476.38
351,812,427,1,267.68
352,816,282,1,165.38
353,339,90,1,347.3
354,441,137,9,433.06
355,103,292,5,171.03
356,532,48,5,78.27
357,669,292,2,195.52
358,380,82,5,29.99
359,8,109,1,93.19
360,165,422,10,368.36
361,971,271,6,65.65
362,77,296,5,216.8
363,719,480,5,380.41
364,713,255,9,93.63
365,3,342,6,427.09
366,411,470,3,73.12
367,360,38,3,415.66
368,894,326,8,331.69
369,224,470,10,379.37
370,794,201,10,72.65
371,927,361,9,52.96
372,316,345,8,272.52
373,461,178,5,137.32
374,174,329,6,281.2
375,78,197,1,206.82
376,330,209,2,241.06
377,604,195,4,283.11
378,178,139,6,373.86
379,202,46,6,333.02
380,657,373,7,272.29
381,140,292,9,152.52
382,233,231,4,407.2
383,428,393,1,244.64
384,906,148,2,290.97
385,107,356,7,113.03
386,50,237,1,376.92
387,301,463,8,447.29
388,269,338,6,103.69
389,310,282,3,488.98
390,510,237,7,75.2
391,826,36,5,315.93
392,990,384,10,114.89
393,543,353,4,13.23
394,646,147,6,259.23
395,733,134,3,247.63
396,802,344,1,410.89
397,86,473,1,121.53
398,657,225,5,138.28
399,707,367,6,247.98
400,3,408,8,334.23
401,678,264,3,241.52
402,550,302,6,253.15
403,297,239,9,462.24
404,569,23,7,387.81
405,283,98,10,205.18
406,478,189,8,318.2
407,638,346,2,42.7
408,985,184,2,366.61
409,358,299,10,171.88
410,681,298,7,488.75
411,727,94,8,91.22
412,536,242,5,225.37
413,908,417,4,65.18
414,947,445,6,483.32
415,657,82,4,429.01
416,454,297,4,244.56
417,253,471,8,72.23
418,317,359,10,430.55
419,112,429,3,71.49
420,643,188,1,93.34
421,103,443,10,407.13
422,141,131,1,205.28
423,942,94,10,26.2
424,492,445,9,110.7
425,723,491,3,359.6
426,945,321,5,248.88
427,442,189,2,478.13
428,381,255,10,366.47
429,818,13,7,370.78
430,166,352,3,381.15
431,953,195,7,148.36
432,902,80,1,380.46
433,284,64,4,350.84
434,357,353,2,117.63
435,28,83,2,291.29
436,595,196,6,169.69
437,152,240,9,439.52
438,449,333,7,133.55
439,477,438,7,10.96
440,148,32,6,397.42
441,271,271,6,89.49
442,469,83,4,171.62
443,415,485,6,181.47
444,918,401,1,208.07
445,650,69,10,425.37
446,990,235,6,428.07
447,938,381,3,408.57
448,944,409,7,68.63
449,729,476,4,154.85
450,484,233,4,482.49
451,904,396,10,147.28
452,140,68,4,30.43
453,528,34,6,331.61
454,816,208,6,404.37
455,962,438,3,164.32
456,451,379,6,332.9
457,856,107,2,176.26
458,415,21,6,181.08
459,248,30,3,445.81
460,657,26,8,335.19
461,529,116,4,297.87
462,968,103,1,462.88
463,237,292,5,245.66
464,163,33,2,333.38
465,712,260,1,98.12
466,439,315,8,265.57
467,44,420,9,325.37
468,384,93,8,354.92
469,346,203,1,315.41
470,393,458,6,201.21
471,339,202,5,181.55
472,871,337,8,466.87
473,366,171,3,390.61
474,269,53,1,34.82
475,761,146,7,143.72
476,986,28,10,236.92
477,756,16,10,6.18
478,334,472,6,141.86
479,396,210,7,430.08
480,149,293,5,366.34
481,158,270,4,488.38
482,150,110,3,356.44
483,661,107,5,125.1
484,889,454,10,336.79
485,707,169,2,262.67
486,409,347,7,392.01
487,801,205,1,202.73
488,947,408,3,206.69
489,621,482,2,373.98
490,142,328,1,76.94
491,827,165,6,282.9
492,40,7,10,486.81
493,481,125,5,180.89
494,737,468,6,185.56
495,669,284,6,246.04
496,141,1,10,439.09
497,737,65,4,327.65
498,301,13,2,118.87
499,633,270,5,443.89
500,514,220,10,256.78
501,448,227,4,148.08
502,926,162,9,257.98
503,787,413,3,462.07
504,308,238,3,485.29
505,559,64,9,342.44
506,382,371,3,52.98
507,783,450,10,479.61
508,352,396,1,187.11
509,995,383,2,81.25
510,490,65,10,88.64
511,444,47,2,80.41
512,406,127,2,358.69
513,847,160,5,365.71
514,347,441,7,412.54
515,282,478,1,321.23
516,354,404,7,347.65
517,286,434,9,435.52
518,594,101,9,394.35
519,397,496,3,111.6
520,528,205,2,38.28
521,225,234,6,46.01
522,486,206,4,438.17
523,330,387,7,171.35
524,387,6,9,299.05
525,94,49,8,402.05
526,803,301,5,223.57
527,665,116,3,426.39
528,363,186,2,196.4
529,621,472,6,267.88
530,56,209,7,36.83
531,579,390,6,306.75
532,914,130,7,102.52
533,800,1,6,188.47
534,685,267,1,158.99
535,274,225,5,410.2
536,363,348,4,331.6
537,173,263,7,308.77
538,959,8,8,412.5
539,837,320,4,56.75
540,294,437,7,382.57
541,431,314,4,159.22
542,729,390,1,138.75
543,682,96,1,30.61
544,83,399,8,131.63
545,514,387,4,137.46
546,746,447,9,304.39
547,758,113,9,17.49
548,475,37,6,234.08
549,71,153,5,129.27
550,715,440,7,392.62
551,138,496,5,20.99
552,339,62,4,56.36
553,193,215,6,439.14
554,556,139,6,489.44
555,904,204,8,491.49
556,505,17,8,216.6
557,179,476,5,216.78
558,950,264,1,172.0
559,983,465,8,153.16
560,100,321,1,250.82
561,36,465,9,195.98
562,366,280,6,324.66
563,177,42,3,328.98
564,780,204,2,13.11
565,667,464,7,319.48
566,75,20,1,228.21
567,410,149,10,64.13
568,416,429,2,358.88
569,312,291,10,101.52
570,854,75,5,477.79
571,93,404,10,317.0
572,172,10,3,188.69
573,657,82,3,280.43
574,273,158,10,22.83
575,407,461,2,341.88
576,14,130,1,169.24
577,534,468,7,278.26
578,196,334,6,369.41
579,611,8,2,454.24
580,839,454,8,165.5
581,255,420,1,24.59
582,373,395,6,191.18
583,169,139,10,362.43
584,946,2,3,405.46
585,391,105,8,204.55
586,92,327,2,154.46
587,769,109,1,25.22
588,691,413,8,300.08
589,756,417,6,333.31
590,155,25,1,307.63
591,628,97,2,264.01
592,906,10,10,5.78
593,86,134,10,194.68
594,423,299,10,420.69
595,110,204,5,401.12
596,657,185,4,435.33
597,810,64,3,186.95
598,524,227,9,253.23
599,899,131,3,355.35
600,321,281,7,482.9
601,371,202,3,475.25
602,722,407,4,251.8
